ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
AARD,43,51.51,,,,,,,,,none,late,small,True,50.90,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,78.0,,0.83000,0.95,0.95,0.45,0.7
FTRE,44,51.25,,,,,,,,,none,early,small,True,92.75,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,35.0,,0.80500,0.95,0.85,0.45,0.7
SIGA,45,51.13,,,,,,,,,none,late,small,True,7.25,60,,,,,,0,,,,,,,50,unknown,61.0,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
ALDX,46,51.07,,,,,,,,,none,late,small,True,28.06,60,,,,,,2,,,,,,,50,unknown,50,,75.0,,84.0,,0.83500,0.95,0.95,0.45,0.7
MNKD,47,50.92,,,,,,,,,none,late,small,True,47.81,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
RIGL,48,50.74,,,,,,,,,none,late,small,True,35.68,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
JANX,49,50.53,,,,,,,,,none,early,small,True,7.25,60,,,,,,6,RA Capital,,,,,,50,unknown,50,,100.0,,67.0,,0.80500,0.95,0.85,0.45,0.7
NBIX,50,50.44,,,,,,,,,none,late,large,True,13.00,60,,,,,,11,,,,,,,38.30,strong,69.0,,75.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
APLS,51,50.04,,,,,,,,,none,late,mid,True,9.07,60,,,,,,2,,,,,,,49.75,exceptional,69.0,,75.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
TARS,52,49.90,,,,,,,,,none,early,mid,True,22.77,60,,,,,,6,,,,,,,50,unknown,50,,75.0,,68.0,,0.83500,0.95,0.95,0.45,0.7
INVA,53,49.84,,,,,,,,,none,early,small,True,24.87,60,,,,,,0,,,,,,,50,unknown,50,,20.0,,46.0,,0.80500,0.95,0.85,0.45,0.7
TRVI,54,49.80,,,,,,,,,none,mid,small,True,30.83,60,,,,,,1,,,,,,,50,unknown,50,,60.0,,75.0,,0.87000,0.95,0.95,0.65,0.7
BBOT,55,49.79,,,,,,,,,none,early,small,True,44.79,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,52.0,,0.80000,0.95,0.85,0.45,0.7
MLYS,56,49.73,,,,,,,,,none,late,mid,True,61.47,60,,,,,,5,Perceptive; RA Capital,,,,,,50,unknown,50,,100.0,,75.0,,0.83000,0.95,0.95,0.45,0.7
IDYA,57,49.67,,,,,,,,,none,mid,mid,True,41.99,60,,,,,,5,Baker Bros,,,,,,50,unknown,50,,100.0,,64.0,,0.83000,0.95,0.95,0.45,0.7
EXEL,58,49.64,,,,,,,,,none,late,large,True,30.73,60,,,,,,5,,,,,,,50,unknown,73.8,,100.0,,83.0,,0.80000,0.95,0.95,0.30,0.7
PTCT,59,49.33,,,,,,,,,none,late,mid,True,54.00,60,,,,,,9,,,,,,,50,unknown,50,,100.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
GILD,60,48.91,,,,,,,,,none,late,large,True,40.49,60,,,,,,1,,,,,,,46.37,exceptional,50,,100.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
OPK,61,48.74,,,,,,,,,none,early,small,False,12.69,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,60.0,,0.80500,0.95,0.85,0.45,0.7
ZYME,62,48.63,,,,,,,,,none,early,small,False,61.98,60,,,,,,10,,,,,,,50,unknown,50,,100.0,,60.0,,0.83000,0.95,0.95,0.45,0.7
KMDA,63,48.59,,,,,,,,,none,late,small,False,49.62,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,82.0,,0.57500,0.1,0.95,0.45,0.7
DVAX,64,48.54,,,,,,,,,none,late,small,False,68.74,60,,,,,,4,,,,,,,50,unknown,50,,90.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
ANIP,65,48.47,,,,,,,,,none,late,small,False,15.72,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
GERN,66,48.44,,,,,,,,,none,late,small,False,26.51,60,,,,,,0,,,,,,,50,unknown,64.8,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
ALLO,67,48.04,,,,,,,,,none,late,small,False,52.16,60,,,,,,0,,,,,,,50,unknown,72.0,,100.0,,84.0,,0.83000,0.95,0.95,0.45,0.7
TRDA,68,47.66,,,,,,,,,none,early,small,False,92.75,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,75.0,,64.0,,0.80500,0.95,0.85,0.45,0.7
AMPH,69,47.42,,,,,,,,,none,late,small,False,21.43,60,,,,,,0,,,,,,,50,unknown,50,,80.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
CAI,70,47.30,,,,,,,,,none,late,mid,False,7.25,60,,,,,,6,,,,,,,50,unknown,50,,75.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
CLDX,71,46.36,,,,,,,,,none,late,small,False,24.33,60,,,,,,7,Baker Bros,,,,,,50,unknown,50,,100.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
VRTX,72,46.26,,,,,,,,,none,late,large,False,40.20,60,,,,,,7,,,,,,,55.08,exceptional,69.0,,100.0,,88.0,,0.87000,0.95,0.95,0.65,0.7
INDV,73,46.00,,,,,,,,,none,early,mid,False,47.30,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
SLN,74,45.95,,,,,,,,,none,mid,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
PTGX,75,45.73,,,,,,,,,none,mid,mid,False,46.92,60,,,,,,4,Perceptive,,,,,,50,unknown,50,,100.0,,72.0,,0.83000,0.95,0.95,0.45,0.7
TVTX,76,45.69,,,,,,,,,none,late,mid,False,35.34,60,,,,,,4,RA Capital,,,,,,50,unknown,50,,20.0,,72.0,,0.83000,0.95,0.95,0.45,0.7
ABCL,77,45.55,,,,,,,,,none,early,small,False,7.25,60,,,,,,2,Baker Bros,,,,,,50,unknown,50,,90.0,,46.0,,0.74500,0.95,0.85,0.45,0.7
AXSM,78,45.42,,,,,,,,,none,late,mid,False,75.58,60,,,,,,6,Perceptive,,,,,,50,unknown,69.8,,90.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
BCYC,79,45.25,,,,,,,,,none,mid,small,False,7.25,60,,,,,,2,Baker Bros,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
MIRM,80,45.15,,,,,,,,,none,late,mid,False,77.92,60,,,,,,4,Perceptive,,,,,,43.75,strong,50,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
