ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
ASMB,32,53.72,,,,,,,,,none,mid,small,True,16.74,60,-0.2334,50.00,46.79,39.31,50.00,0,,50,UNKNOWN,UNKNOWN,84.55,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
KYMR,33,53.71,,,,,,,,,none,mid,mid,True,59.31,60,0.0690,50.00,50.00,0,56.00,4,Baker Bros,73.00,LOW,MODERATE,13.64,mcap_per_trial,0.8000,60.46,exceptional,Sanofi; Vertex,64.8,ODD; FT,100.0,crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
CRSP,34,53.24,,,,,,,,,none,early,mid,True,7.25,60,-0.3106,50.00,50.00,0,54.80,2,,84.00,MEDIUM,HIGH,10.00,mcap_per_trial,0.8000,56.46,exceptional,Vertex; Regeneron,81.0,ODD; BTD; FT; RMAT,75.0,uncrowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
VERA,35,53.22,,,,,,,,,none,late,mid,True,92.75,60,0.4784,86.96,66.24,17.90,56.60,6,,75.00,LOW,LOW,36.34,mcap_per_trial,0.8000,46.41,strong,Eli Lilly,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
PBYI,36,53.14,,,,,,,,,none,late,small,True,64.69,60,0.1088,50.00,50.00,0,50.00,0,,63.00,LOW,LOW,83.57,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
UTHR,37,52.84,,,,,,,,,none,late,large,True,44.12,60,-0.0435,50.00,50.00,0,59.60,4,,60.00,LOW,LOW,70.71,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
LAB,38,52.82,,,,,,,,,none,late,small,True,44.70,60,-0.0392,50.00,50.00,0,52.40,1,,67.00,LOW,LOW,89.75,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
GH,39,52.58,,,,,,,,,none,late,large,True,91.19,60,0.2891,73.70,57.61,20.07,57.20,7,,55.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
SUPN,40,51.94,,,,,,,,,none,late,mid,True,16.45,60,-0.2354,50.00,50.00,0,50.00,0,,79.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
VTRS,41,51.87,,,,,,,,,none,late,large,True,55.64,60,0.0418,50.00,50.00,0,50.00,0,,68.00,LOW,LOW,65.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ELVN,42,51.70,,,,,,,,,none,early,small,True,74.46,60,0.1716,50.00,50.00,0,51.60,4,Baker Bros,73.00,MEDIUM,MODERATE,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.80500,0.95,0.85,0.45,0.7
AARD,43,51.51,,,,,,,,,none,late,small,True,50.90,60,0.0067,73.52,59.37,26.36,52.40,1,,53.00,LOW,MODERATE,81.06,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
FTRE,44,51.25,,,,,,,,,none,early,small,True,92.75,60,0.5283,50.00,50.00,0,50.00,0,,71.00,MEDIUM,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80500,0.95,0.85,0.45,0.7
SIGA,45,51.13,,,,,,,,,none,late,small,True,7.25,60,-0.3841,50.00,50.00,0,50.00,0,,56.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,61.0,FT; PR,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
