ticker,cusip,name,exchange,security_type
OPK,,OPK,NASDAQ,Common Stock
ORIC,,ORIC,NASDAQ,Common Stock
ORKA,,ORKA,NASDAQ,Common Stock
PACB,,PACB,NASDAQ,Common Stock
PEPG,,PEPG,NASDAQ,Common Stock
PHAT,,PHAT,NASDAQ,Common Stock
PHVS,,PHVS,NASDAQ,Common Stock
PRAX,,PRAX,NASDAQ,Common Stock
PRME,,PRME,NASDAQ,Common Stock
PSNL,,PSNL,NASDAQ,Common Stock
PYXS,,PYXS,NASDAQ,Common Stock
QSI,,QSI,NASDAQ,Common Stock
QTRX,,QTRX,NASDAQ,Common Stock
QURE,,QURE,NASDAQ,Common Stock
RAPP,,RAPP,NASDAQ,Common Stock
RAPT,,RAPT,NASDAQ,Common Stock
RCKT,,RCKT,NASDAQ,Common Stock
RCUS,,RCUS,NASDAQ,Common Stock
REGN,,REGN,NASDAQ,Common Stock
REPL,,REPL,NASDAQ,Common Stock
RIGL,,RIGL,NASDAQ,Common Stock
RLAY,,RLAY,NASDAQ,Common Stock
RTYH6,,RTYH6,NASDAQ,Common Stock
SEPN,,SEPN,NASDAQ,Common Stock
SGAFT,,SGAFT,NASDAQ,Common Stock
SGMT,,SGMT,NASDAQ,Common Stock
SION,,SION,NASDAQ,Common Stock
SLDB,,SLDB,NASDAQ,Common Stock
SLN,,SLN,NASDAQ,Common Stock
SMMT,,SMMT,NASDAQ,Common Stock
SRRK,,SRRK,NASDAQ,Common Stock
STOK,,STOK,NASDAQ,Common Stock
STRO,,STRO,NASDAQ,Common Stock
STVN,,STVN,NASDAQ,Common Stock
SVRA,,SVRA,NASDAQ,Common Stock
SYRE,,SYRE,NASDAQ,Common Stock
TECX,,TECX,NASDAQ,Common Stock
TEM,,TEM,NASDAQ,Common Stock
TERN,,TERN,NASDAQ,Common Stock
